W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw,season,win,draw,loss,points,win_pct,for,against,streak
6.0,0.0,7.0,18.0,0.462,5.0,,,1 (W),Benford FC,7,13,14,,,,,,,,
4.0,0.0,9.0,12.0,0.308,4.0,,,1 (W),Seanhampton,8,13,14,,,,,,,,
4.0,0.0,9.0,12.0,0.308,7.0,,,2 (L),Concept of a FPLan,9,13,14,,,,,,,,
4.0,0.0,9.0,12.0,0.308,6.0,,,6 (L),Magpies United,10,13,14,,,,,,,,
10.0,0.0,4.0,30.0,0.714,8.0,,,1 (W),HappyHaalandays,1,14,14,,,,,,,,
9.0,0.0,5.0,27.0,0.643,9.0,,,1 (W),Cheasle FC,2,14,14,,,,,,,,
9.0,0.0,5.0,27.0,0.643,10.0,,,1 (L),TAAco Bell,3,14,14,,,,,,,,
9.0,0.0,5.0,27.0,0.643,1.0,,,1 (W),New Zac on the Block,4,14,14,,,,,,,,
7.0,0.0,7.0,21.0,0.5,5.0,,,2 (W),Benford FC,5,14,14,,,,,,,,
7.0,0.0,7.0,21.0,0.5,3.0,,,1 (L),Thottenham Hotsluts,6,14,14,,,,,,,,
6.0,0.0,8.0,18.0,0.429,2.0,,,1 (L),RATABE,7,14,14,,,,,,,,
5.0,0.0,9.0,15.0,0.357,4.0,,,2 (W),Seanhampton,8,14,14,,,,,,,,
4.0,0.0,10.0,12.0,0.286,7.0,,,3 (L),Concept of a FPLan,9,14,14,,,,,,,,
4.0,0.0,10.0,12.0,0.286,6.0,,,7 (L),Magpies United,10,14,14,,,,,,,,
10.0,0.0,5.0,30.0,0.667,9.0,,,2 (W),Cheasle FC,1,15,14,,,,,,,,
10.0,0.0,5.0,30.0,0.667,10.0,,,1 (W),TAAco Bell,2,15,14,,,,,,,,
10.0,0.0,5.0,30.0,0.667,8.0,,,1 (L),HappyHaalandays,3,15,14,,,,,,,,
9.0,0.0,6.0,27.0,0.6,1.0,,,1 (L),New Zac on the Block,4,15,14,,,,,,,,
8.0,0.0,7.0,24.0,0.533,3.0,,,1 (W),Thottenham Hotsluts,5,15,14,,,,,,,,
7.0,0.0,8.0,21.0,0.467,2.0,,,1 (W),RATABE,6,15,14,,,,,,,,
7.0,0.0,8.0,21.0,0.467,5.0,,,1 (L),Benford FC,7,15,14,,,,,,,,
6.0,0.0,9.0,18.0,0.4,4.0,,,3 (W),Seanhampton,8,15,14,,,,,,,,
4.0,0.0,11.0,12.0,0.267,7.0,,,4 (L),Concept of a FPLan,9,15,14,,,,,,,,
4.0,0.0,11.0,12.0,0.267,6.0,,,8 (L),Magpies United,10,15,14,,,,,,,,
11.0,0.0,5.0,33.0,0.688,9.0,,,3 (W),Cheasle FC,1,16,14,,,,,,,,
11.0,0.0,5.0,33.0,0.688,8.0,,,1 (W),HappyHaalandays,2,16,14,,,,,,,,
10.0,0.0,6.0,30.0,0.625,10.0,,,1 (L),TAAco Bell,3,16,14,,,,,,,,
9.0,0.0,7.0,27.0,0.562,1.0,,,2 (L),New Zac on the Block,4,16,14,,,,,,,,
9.0,0.0,7.0,27.0,0.562,3.0,,,2 (W),Thottenham Hotsluts,5,16,14,,,,,,,,
8.0,0.0,8.0,24.0,0.5,2.0,,,2 (W),RATABE,6,16,14,,,,,,,,
7.0,0.0,9.0,21.0,0.438,5.0,,,2 (L),Benford FC,7,16,14,,,,,,,,
6.0,0.0,10.0,18.0,0.375,4.0,,,1 (L),Seanhampton,8,16,14,,,,,,,,
5.0,0.0,11.0,15.0,0.312,7.0,,,1 (W),Concept of a FPLan,9,16,14,,,,,,,,
4.0,0.0,12.0,12.0,0.25,6.0,,,9 (L),Magpies United,10,16,14,,,,,,,,
12.0,0.0,5.0,36.0,0.706,9.0,,,4 (W),Cheasle FC,1,17,14,,,,,,,,
11.0,0.0,6.0,33.0,0.647,10.0,,,1 (W),TAAco Bell,2,17,14,,,,,,,,
