win,draw,loss,points,win_pct,for,against,streak,team,rank,gw,season
11,1,9,34,0.548,1054.7,977.8,2 (L),I_De_Zerbit,4,21,12
9,1,11,28,0.452,1034.9,1036.5,5 (W),Benford F.C.,5,21,12
7,1,13,22,0.357,825.5,1018.0,7 (L),HappyHaalandays,6,21,12
7,1,13,22,0.357,814.4,1017.0,1 (W),Mo Mané Mo Problems,7,21,12
5,1,15,16,0.262,902.8,1070.6,3 (L),Seanhampton FC,8,21,12
18,1,3,55,0.841,1282.3,974.9,1 (L),Sa Lah Land,1,22,12
12,1,9,37,0.568,1105.7,1024.7,1 (W),RATABE,2,22,12
12,1,9,37,0.568,1074.5,976.1,1 (L),Bench Warmers FC,3,22,12
11,1,10,34,0.523,1105.0,1028.8,3 (L),I_De_Zerbit,4,22,12
10,1,11,31,0.477,1092.4,1084.4,6 (W),Benford F.C.,5,22,12
8,1,13,25,0.386,865.4,1067.3,2 (W),Mo Mané Mo Problems,6,22,12
7,1,14,22,0.341,852.9,1063.7,8 (L),HappyHaalandays,7,22,12
6,1,15,19,0.295,949.0,1107.3,1 (W),Seanhampton FC,8,22,12
18,1,4,55,0.804,1333.7,1035.3,2 (L),Sa Lah Land,1,23,12
13,1,9,40,0.587,1134.9,1027.5,1 (W),Bench Warmers FC,2,23,12
12,1,10,37,0.543,1161.9,1093.1,1 (L),RATABE,3,23,12
12,1,10,37,0.543,1155.4,1075.8,1 (W),I_De_Zerbit,4,23,12
11,1,11,34,0.5,1160.8,1140.6,7 (W),Benford F.C.,5,23,12
8,1,14,25,0.37,916.1,1132.2,1 (L),Mo Mané Mo Problems,6,23,12
7,1,15,22,0.326,1013.9,1158.0,2 (W),Seanhampton FC,7,23,12
7,1,15,22,0.326,899.9,1114.1,9 (L),HappyHaalandays,8,23,12
19,1,4,58,0.812,1374.7,1071.3,1 (W),Sa Lah Land,1,24,12
14,1,9,43,0.604,1202.6,1056.2,2 (W),Bench Warmers FC,2,24,12
12,1,11,37,0.521,1196.4,1126.9,1 (L),I_De_Zerbit,3,24,12
12,1,11,37,0.521,1190.6,1160.8,2 (L),RATABE,4,24,12
11,1,12,34,0.479,1201.0,1181.9,1 (L),Benford F.C.,5,24,12
8,1,15,25,0.354,1065.0,1199.0,3 (W),Seanhampton FC,6,24,12
8,1,15,25,0.354,952.1,1173.2,2 (L),Mo Mané Mo Problems,7,24,12
8,1,15,25,0.354,941.2,1154.3,1 (W),HappyHaalandays,8,24,12
19,1,5,58,0.78,1374.7,1125.7,1 (L),Sa Lah Land,1,25,12
15,1,9,46,0.62,1273.2,1125.1,3 (W),Bench Warmers FC,2,25,12
13,1,11,40,0.54,1280.6,1181.3,1 (W),RATABE,3,25,12
13,1,11,40,0.54,1250.8,1126.9,1 (W),I_De_Zerbit,4,25,12
11,1,13,34,0.46,1269.9,1252.5,2 (L),Benford F.C.,5,25,12
9,1,15,28,0.38,1000.3,1210.2,2 (W),HappyHaalandays,6,25,12
8,1,16,25,0.34,1120.9,1258.1,1 (L),Seanhampton FC,7,25,12
8,1,16,25,0.34,972.6,1263.2,3 (L),Mo Mané Mo Problems,8,25,12
20,1,5,61,0.788,1444.1,1171.0,1 (W),Sa Lah Land,1,26,12
15,1,10,46,0.596,1315.4,1182.6,1 (L),Bench Warmers FC,2,26,12
14,1,11,43,0.558,1336.4,1228.6,2 (W),RATABE,3,26,12
13,1,12,40,0.519,1298.1,1182.7,1 (L),I_De_Zerbit,4,26,12
12,1,13,37,0.481,1309.1,1284.9,1 (W),Benford F.C.,5,26,12
10,1,15,31,0.404,1057.8,1252.4,3 (W),HappyHaalandays,6,26,12
8,1,17,25,0.327,1166.2,1327.5,2 (L),Seanhampton FC,7,26,12
