gw,rank,team,win,draw,loss,points,win_pct,for,against,streak
28,2,Chicken ASzobo,16,0,12,48,0.571,4268.75,3888.25,2 (L)
28,3,HappyHaalandays,15,0,13,45,0.536,3964.0,3926.75,1 (L)
28,4,Cheasle FC,15,0,13,45,0.536,3887.75,3817.75,4 (W)
28,5,Seanhampton FC,15,0,13,45,0.536,3860.25,3860.5,3 (L)
28,6,Thottenham Hotsluts,15,0,13,45,0.536,3837.75,3961.5,1 (L)
28,7,The ThiaGOAT,14,0,14,42,0.5,3630.25,3692.5,2 (W)
28,8,Zenright,13,0,15,39,0.464,3624.75,3795.0,3 (L)
28,9,RATABE,11,0,17,33,0.393,3482.25,3642.0,1 (W)
28,10,Benford FC,9,0,19,27,0.321,3319.25,3717.25,1 (W)
29,1,Cursed BrunOnana,17,0,12,51,0.586,4358.0,3978.5,1 (L)
29,2,Chicken ASzobo,17,0,12,51,0.586,4345.25,3917.75,1 (W)
29,3,Cheasle FC,16,0,13,48,0.552,4018.25,3911.5,5 (W)
29,4,Thottenham Hotsluts,16,0,13,48,0.552,3941.0,4004.25,1 (W)
29,5,HappyHaalandays,15,0,14,45,0.517,4006.75,4030.0,2 (L)
29,6,Seanhampton FC,15,0,14,45,0.517,3954.0,3991.0,4 (L)
29,7,Zenright,14,0,15,42,0.483,3686.75,3835.25,1 (W)
29,8,The ThiaGOAT,14,0,15,42,0.483,3677.0,3788.5,1 (L)
29,9,RATABE,12,0,17,36,0.414,3578.25,3688.75,2 (W)
29,10,Benford FC,9,0,20,27,0.31,3359.5,3779.25,1 (L)
30,1,Chicken ASzobo,18,0,12,54,0.6,4517.25,4049.0,2 (W)
30,2,Cursed BrunOnana,17,0,13,51,0.567,4484.75,4119.75,2 (L)
30,3,Cheasle FC,17,0,13,51,0.567,4201.5,4063.75,6 (W)
30,4,HappyHaalandays,16,0,14,48,0.533,4148.0,4156.75,1 (W)
30,5,Thottenham Hotsluts,16,0,14,48,0.533,4040.75,4117.75,1 (L)
30,6,Seanhampton FC,15,0,15,45,0.5,4085.25,4163.0,5 (L)
30,7,The ThiaGOAT,15,0,15,45,0.5,3790.5,3888.25,1 (W)
30,8,Zenright,14,0,16,42,0.467,3839.0,4018.5,1 (L)
30,9,RATABE,13,0,17,39,0.433,3681.75,3785.0,3 (W)
30,10,Benford FC,9,0,21,27,0.3,3455.75,3882.75,2 (L)
31,1,Chicken ASzobo,18,0,13,54,0.581,4642.5,4174.75,1 (L)
31,2,Cursed BrunOnana,18,0,13,54,0.581,4629.75,4229.75,1 (W)
31,3,Cheasle FC,18,0,13,54,0.581,4375.25,4191.0,7 (W)
31,4,HappyHaalandays,17,0,14,51,0.548,4273.75,4282.0,2 (W)
31,5,Thottenham Hotsluts,16,0,15,48,0.516,4139.5,4221.0,2 (L)
31,6,Seanhampton FC,15,0,16,45,0.484,4209.25,4302.0,6 (L)
31,7,Zenright,15,0,16,45,0.484,3978.0,4142.5,1 (W)
31,8,The ThiaGOAT,15,0,16,45,0.484,3900.5,4033.25,1 (L)
31,9,RATABE,13,0,18,39,0.419,3809.0,3958.75,1 (L)
31,10,Benford FC,10,0,21,30,0.323,3559.0,3981.5,1 (W)
32,1,Cursed BrunOnana,18,0,14,54,0.562,4746.75,4357.75,1 (L)
32,2,Chicken ASzobo,18,0,14,54,0.562,4732.5,4275.0,2 (L)
32,3,Cheasle FC,18,0,14,54,0.562,4497.25,4345.75,1 (L)
32,4,HappyHaalandays,18,0,14,54,0.562,4425.25,4412.75,3 (W)
32,5,Thottenham Hotsluts,17,0,15,51,0.531,4294.25,4343.0,1 (W)
32,6,Seanhampton FC,16,0,16,48,0.5,4348.75,4424.5,1 (W)
32,7,Zenright,16,0,16,48,0.5,4078.25,4232.5,2 (W)
32,8,The ThiaGOAT,15,0,17,45,0.469,4031.25,4184.75,2 (L)
32,9,RATABE,13,0,19,39,0.406,3931.5,4098.25,2 (L)
32,10,Benford FC,11,0,21,33,0.344,3687.0,4098.5,2 (W)
33,1,Chicken ASzobo,19,0,14,57,0.576,4897.0,4409.5,1 (W)
33,2,Cheasle FC,19,0,14,57,0.576,4669.5,4507.25,1 (W)
33,3,HappyHaalandays,19,0,14,57,0.576,4579.0,4493.0,4 (W)
33,4,Cursed BrunOnana,18,0,15,54,0.545,4908.25,4530.0,2 (L)
33,5,Thottenham Hotsluts,17,1,15,52,0.53,4441.5,4490.25,2 (Und)
33,6,Seanhampton FC,16,1,16,49,0.5,4496.0,4571.75,2 (Und)
33,7,Zenright,16,0,17,48,0.485,4177.25,4361.0,1 (L)
33,8,The ThiaGOAT,15,0,18,45,0.455,4165.75,4349.25,3 (L)
33,9,RATABE,14,0,19,42,0.424,4060.0,4197.25,1 (W)
33,10,Benford FC,11,0,22,33,0.333,3767.25,4252.25,1 (L)
34,1,Chicken ASzobo,20,0,14,60,0.588,5146.75,4585.0,2 (W)
34,2,Cheasle FC,20,0,14,60,0.588,4950.5,4733.5,2 (W)
34,3,Cursed BrunOnana,19,0,15,57,0.559,5237.25,4725.75,1 (W)
34,4,HappyHaalandays,19,0,15,57,0.559,4805.25,4774.0,1 (L)
34,5,Thottenham Hotsluts,17,1,16,52,0.515,4546.25,4681.0,2 (Wnl)
34,6,Zenright,17,0,17,51,0.5,4368.0,4465.75,1 (W)
34,7,Seanhampton FC,16,1,17,49,0.485,4691.75,4900.75,2 (Wnl)
34,8,The ThiaGOAT,15,0,19,45,0.441,4331.75,4554.5,4 (L)
34,9,RATABE,14,0,20,42,0.412,4235.5,4447.0,1 (L)
34,10,Benford FC,12,0,22,36,0.353,3972.5,4418.25,1 (W)
35,1,Chicken ASzobo,21,0,14,63,0.6,5313.5,4720.0,3 (W)
35,2,Cheasle FC,21,0,14,63,0.6,5193.0,4879.5,3 (W)
35,3,Cursed BrunOnana,20,0,15,60,0.571,5384.25,4808.75,2 (W)
35,4,HappyHaalandays,20,0,15,60,0.571,4979.25,4923.75,1 (W)
35,5,Thottenham Hotsluts,17,1,17,52,0.5,4652.25,4820.5,3 (Wnl)
